sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f6304f95f10>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f6304f95bd0>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.

Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=300
EVALUATE_EVERY=100
HIDDEN_DIM=300
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_EPOCHS=200
WORD2VEC=None

Loading data...
Vocabulary Size: 18758
Train/Dev split: 9662/1000
Writing to /home/chaitanya/lstm-context-embeddings/runs/1469600026

2016-07-27T14:13:51.298475: step 1, loss 0.70131, acc 0.453125
2016-07-27T14:52:50.809958: step 822, loss 0.323768, acc 0.890625
2016-07-27T14:52:53.476647: step 823, loss 0.316241, acc 0.84375
2016-07-27T14:52:56.308738: step 824, loss 0.389761, acc 0.8125
2016-07-27T14:52:58.908651: step 825, loss 0.324381, acc 0.890625
2016-07-27T14:53:01.574571: step 826, loss 0.378278, acc 0.875
2016-07-27T14:53:04.435899: step 827, loss 0.350018, acc 0.875
2016-07-27T14:53:07.001738: step 828, loss 0.467844, acc 0.84375
2016-07-27T14:53:09.695398: step 829, loss 0.305997, acc 0.890625
2016-07-27T14:53:12.475212: step 830, loss 0.3278, acc 0.921875
2016-07-27T14:53:15.096091: step 831, loss 0.293065, acc 0.875
2016-07-27T14:53:17.813673: step 832, loss 0.364661, acc 0.796875
2016-07-27T14:53:20.668348: step 833, loss 0.499129, acc 0.84375
2016-07-27T14:53:23.258427: step 834, loss 0.261669, acc 0.90625
2016-07-27T14:53:26.127721: step 835, loss 0.234709, acc 0.953125
2016-07-27T14:53:28.781243: step 836, loss 0.391658, acc 0.859375
2016-07-27T14:53:31.347008: step 837, loss 0.285491, acc 0.90625
2016-07-27T14:53:34.207644: step 838, loss 0.318512, acc 0.890625
2016-07-27T14:53:36.757662: step 839, loss 0.336408, acc 0.859375
2016-07-27T14:53:39.574617: step 840, loss 0.423531, acc 0.78125
2016-07-27T14:53:42.199893: step 841, loss 0.346265, acc 0.875
2016-07-27T14:53:45.022229: step 842, loss 0.346847, acc 0.8125
2016-07-27T14:53:47.643493: step 843, loss 0.424333, acc 0.84375
2016-07-27T14:53:50.403875: step 844, loss 0.268524, acc 0.875
2016-07-27T14:53:53.155399: step 845, loss 0.392502, acc 0.796875
2016-07-27T14:53:55.866402: step 846, loss 0.256726, acc 0.921875
2016-07-27T14:53:58.697901: step 847, loss 0.269815, acc 0.890625
2016-07-27T14:54:01.323465: step 848, loss 0.279596, acc 0.90625
2016-07-27T14:54:04.208618: step 849, loss 0.438161, acc 0.75
2016-07-27T14:54:06.892661: step 850, loss 0.234298, acc 0.921875
2016-07-27T14:54:09.459801: step 851, loss 0.364362, acc 0.84375
2016-07-27T14:54:12.307553: step 852, loss 0.427569, acc 0.796875
2016-07-27T14:54:14.944478: step 853, loss 0.285062, acc 0.890625
2016-07-27T14:54:17.588099: step 854, loss 0.315522, acc 0.875
2016-07-27T14:54:20.443048: step 855, loss 0.302392, acc 0.859375
2016-07-27T14:54:23.031342: step 856, loss 0.302292, acc 0.828125
2016-07-27T14:54:25.826529: step 857, loss 0.398139, acc 0.796875
2016-07-27T14:54:28.659689: step 858, loss 0.332653, acc 0.875
2016-07-27T14:54:31.227365: step 859, loss 0.233921, acc 0.90625
2016-07-27T14:54:34.169918: step 860, loss 0.288885, acc 0.875
2016-07-27T14:54:36.745060: step 861, loss 0.362674, acc 0.8125
2016-07-27T14:54:39.578749: step 862, loss 0.349991, acc 0.828125
2016-07-27T14:54:42.232547: step 863, loss 0.270789, acc 0.90625
2016-07-27T14:54:45.083297: step 864, loss 0.382149, acc 0.8125
2016-07-27T14:54:47.708318: step 865, loss 0.33402, acc 0.890625
2016-07-27T14:54:50.511491: step 866, loss 0.215059, acc 0.90625
2016-07-27T14:54:53.265724: step 867, loss 0.395792, acc 0.875
2016-07-27T14:54:55.903301: step 868, loss 0.399559, acc 0.859375
2016-07-27T14:54:58.730798: step 869, loss 0.434444, acc 0.875
2016-07-27T14:55:01.350930: step 870, loss 0.33369, acc 0.875
2016-07-27T14:55:04.042958: step 871, loss 0.35302, acc 0.765625
2016-07-27T14:55:06.921516: step 872, loss 0.326804, acc 0.828125
2016-07-27T14:55:09.653869: step 873, loss 0.367183, acc 0.796875
2016-07-27T14:55:12.695087: step 874, loss 0.3622, acc 0.75
2016-07-27T14:55:15.405497: step 875, loss 0.257097, acc 0.890625
2016-07-27T14:55:18.214605: step 876, loss 0.367066, acc 0.859375
2016-07-27T14:55:20.887688: step 877, loss 0.330402, acc 0.828125
2016-07-27T14:55:23.646498: step 878, loss 0.385417, acc 0.828125
2016-07-27T14:55:26.428614: step 879, loss 0.318492, acc 0.859375
2016-07-27T14:55:29.211348: step 880, loss 0.385712, acc 0.796875
2016-07-27T14:55:32.024032: step 881, loss 0.348338, acc 0.859375
2016-07-27T14:55:34.628055: step 882, loss 0.285802, acc 0.890625
2016-07-27T14:55:37.497817: step 883, loss 0.278087, acc 0.875
2016-07-27T14:55:40.176635: step 884, loss 0.419845, acc 0.828125
2016-07-27T14:55:43.092363: step 885, loss 0.322576, acc 0.859375
2016-07-27T14:55:45.770612: step 886, loss 0.249274, acc 0.875
2016-07-27T14:55:48.548960: step 887, loss 0.400393, acc 0.875
2016-07-27T14:55:51.327524: step 888, loss 0.303435, acc 0.84375
2016-07-27T14:55:54.017172: step 889, loss 0.374904, acc 0.84375
2016-07-27T14:55:56.883102: step 890, loss 0.324725, acc 0.8125
2016-07-27T14:55:59.414525: step 891, loss 0.382805, acc 0.78125
2016-07-27T14:56:02.091989: step 892, loss 0.319105, acc 0.890625
2016-07-27T14:56:04.941302: step 893, loss 0.282536, acc 0.84375
2016-07-27T14:56:07.546725: step 894, loss 0.405825, acc 0.84375
2016-07-27T14:56:10.192777: step 895, loss 0.371103, acc 0.828125
2016-07-27T14:56:13.004896: step 896, loss 0.343303, acc 0.890625
2016-07-27T14:56:15.585436: step 897, loss 0.31659, acc 0.796875
2016-07-27T14:56:18.252863: step 898, loss 0.339824, acc 0.859375
2016-07-27T14:56:21.123643: step 899, loss 0.32232, acc 0.859375
2016-07-27T14:56:23.824231: step 900, loss 0.408181, acc 0.875

Evaluation:
2016-07-27T14:56:36.059784: step 900, loss 0.723823, acc 0.7

Saved model checkpoint to /home/chaitanya/lstm-context-embeddings/runs/1469600026/checkpoints/model-900

2016-07-27T14:56:40.444896: step 901, loss 0.360489, acc 0.796875
2016-07-27T14:56:43.275758: step 902, loss 0.241385, acc 0.9375
2016-07-27T14:56:45.973984: step 903, loss 0.400354, acc 0.8125
2016-07-27T14:56:48.566681: step 904, loss 0.321021, acc 0.84375
2016-07-27T14:56:51.408283: step 905, loss 0.331258, acc 0.875
2016-07-27T14:56:54.088200: step 906, loss 0.435328, acc 0.790323
2016-07-27T14:56:56.924772: step 907, loss 0.242139, acc 0.90625
2016-07-27T14:56:59.639983: step 908, loss 0.242407, acc 0.921875
2016-07-27T14:57:02.392948: step 909, loss 0.298133, acc 0.90625
2016-07-27T14:57:05.206969: step 910, loss 0.262752, acc 0.84375
2016-07-27T14:57:07.879097: step 911, loss 0.216883, acc 0.984375
2016-07-27T14:57:10.736475: step 912, loss 0.299554, acc 0.8125
2016-07-27T14:57:13.371522: step 913, loss 0.251189, acc 0.9375
2016-07-27T14:57:16.030433: step 914, loss 0.219918, acc 0.921875
2016-07-27T14:57:18.840846: step 915, loss 0.227356, acc 0.90625
2016-07-27T14:57:21.447087: step 916, loss 0.226897, acc 0.90625
2016-07-27T14:57:24.134402: step 917, loss 0.276183, acc 0.890625
2016-07-27T14:57:27.111929: step 918, loss 0.266559, acc 0.90625
2016-07-27T14:57:29.798621: step 919, loss 0.262252, acc 0.921875
2016-07-27T14:57:32.896604: step 920, loss 0.166585, acc 0.953125
2016-07-27T14:57:35.578379: step 921, loss 0.268402, acc 0.9375
2016-07-27T14:57:38.524480: step 922, loss 0.268544, acc 0.875
2016-07-27T14:57:41.235347: step 923, loss 0.192906, acc 0.96875
2016-07-27T14:57:44.030525: step 924, loss 0.332122, acc 0.875
2016-07-27T14:57:46.744917: step 925, loss 0.329464, acc 0.90625
2016-07-27T14:57:49.465320: step 926, loss 0.230542, acc 0.890625
2016-07-27T14:57:52.313862: step 927, loss 0.207161, acc 0.953125
2016-07-27T14:57:54.909481: step 928, loss 0.256018, acc 0.90625
2016-07-27T14:57:57.762872: step 929, loss 0.280285, acc 0.875
2016-07-27T14:58:00.388012: step 930, loss 0.186642, acc 0.921875
2016-07-27T14:58:03.027552: step 931, loss 0.229352, acc 0.890625
2016-07-27T14:58:05.863786: step 932, loss 0.322535, acc 0.890625
2016-07-27T14:58:08.436192: step 933, loss 0.167483, acc 0.953125
2016-07-27T14:58:11.256321: step 934, loss 0.22474, acc 0.953125
2016-07-27T14:58:13.905282: step 935, loss 0.249496, acc 0.890625
2016-07-27T14:58:16.581728: step 936, loss 0.253147, acc 0.890625
2016-07-27T14:58:19.322753: step 937, loss 0.276674, acc 0.921875
2016-07-27T14:58:22.140435: step 938, loss 0.215948, acc 0.921875
2016-07-27T14:58:24.705166: step 939, loss 0.249452, acc 0.890625
2016-07-27T14:58:27.586416: step 940, loss 0.253396, acc 0.875
2016-07-27T14:58:30.271833: step 941, loss 0.204932, acc 0.921875
2016-07-27T14:58:32.924213: step 942, loss 0.334618, acc 0.890625
2016-07-27T14:58:35.729084: step 943, loss 0.267371, acc 0.84375
2016-07-27T14:58:38.363771: step 944, loss 0.120993, acc 0.96875
2016-07-27T14:58:40.927585: step 945, loss 0.241765, acc 0.90625
2016-07-27T14:58:43.754561: step 946, loss 0.29469, acc 0.9375
2016-07-27T14:58:46.497221: step 947, loss 0.131991, acc 0.984375
2016-07-27T14:58:49.126697: step 948, loss 0.24022, acc 0.90625
2016-07-27T14:58:51.916538: step 949, loss 0.220205, acc 0.90625
2016-07-27T14:58:54.546830: step 950, loss 0.265861, acc 0.890625
2016-07-27T14:58:57.136251: step 951, loss 0.237975, acc 0.921875
2016-07-27T14:58:59.984954: step 952, loss 0.260897, acc 0.890625
2016-07-27T14:59:02.642035: step 953, loss 0.182499, acc 0.9375
2016-07-27T14:59:05.309468: step 954, loss 0.344216, acc 0.84375
2016-07-27T14:59:08.201562: step 955, loss 0.231581, acc 0.890625
2016-07-27T14:59:10.790761: step 956, loss 0.281117, acc 0.90625
2016-07-27T14:59:13.587490: step 957, loss 0.23525, acc 0.875
2016-07-27T14:59:16.411410: step 958, loss 0.34624, acc 0.890625
2016-07-27T14:59:18.993764: step 959, loss 0.210746, acc 0.9375
2016-07-27T14:59:21.828099: step 960, loss 0.283704, acc 0.859375
2016-07-27T14:59:24.485642: step 961, loss 0.287723, acc 0.921875
2016-07-27T14:59:27.312937: step 962, loss 0.237664, acc 0.90625
2016-07-27T14:59:30.045178: step 963, loss 0.212956, acc 0.9375
2016-07-27T14:59:32.861623: step 964, loss 0.199157, acc 0.9375
2016-07-27T14:59:35.869444: step 965, loss 0.263422, acc 0.875
2016-07-27T14:59:38.709058: step 966, loss 0.263437, acc 0.828125
2016-07-27T14:59:41.558746: step 967, loss 0.313436, acc 0.8125
2016-07-27T14:59:44.102157: step 968, loss 0.249784, acc 0.9375
2016-07-27T14:59:46.954640: step 969, loss 0.304281, acc 0.890625
2016-07-27T14:59:50.025959: step 970, loss 0.261872, acc 0.90625
2016-07-27T14:59:53.043365: step 971, loss 0.297316, acc 0.875
2016-07-27T14:59:55.887827: step 972, loss 0.245497, acc 0.921875
2016-07-27T14:59:58.677901: step 973, loss 0.240058, acc 0.890625
2016-07-27T15:00:01.467911: step 974, loss 0.227257, acc 0.890625
2016-07-27T15:00:04.045388: step 975, loss 0.396694, acc 0.8125
2016-07-27T15:00:06.931429: step 976, loss 0.263792, acc 0.875
2016-07-27T15:00:09.560200: step 977, loss 0.332798, acc 0.828125
2016-07-27T15:00:12.338942: step 978, loss 0.23483, acc 0.9375
2016-07-27T15:00:15.010329: step 979, loss 0.267026, acc 0.875
2016-07-27T15:00:17.691750: step 980, loss 0.234312, acc 0.90625
2016-07-27T15:00:20.547998: step 981, loss 0.24602, acc 0.90625
2016-07-27T15:00:23.179114: step 982, loss 0.21317, acc 0.921875
2016-07-27T15:00:26.191847: step 983, loss 0.219701, acc 0.859375
2016-07-27T15:00:28.927433: step 984, loss 0.352537, acc 0.84375
2016-07-27T15:00:31.840230: step 985, loss 0.307274, acc 0.875
2016-07-27T15:00:34.528206: step 986, loss 0.35238, acc 0.84375
2016-07-27T15:00:37.346991: step 987, loss 0.414229, acc 0.859375
2016-07-27T15:00:40.102116: step 988, loss 0.243711, acc 0.921875
2016-07-27T15:00:42.802986: step 989, loss 0.200336, acc 0.953125
2016-07-27T15:00:45.633488: step 990, loss 0.271578, acc 0.890625
2016-07-27T15:00:48.192316: step 991, loss 0.304951, acc 0.921875
2016-07-27T15:00:50.921235: step 992, loss 0.354862, acc 0.84375
2016-07-27T15:00:53.717483: step 993, loss 0.256298, acc 0.875
2016-07-27T15:00:56.278438: step 994, loss 0.270407, acc 0.859375
2016-07-27T15:00:59.109287: step 995, loss 0.205416, acc 0.890625
2016-07-27T15:01:01.660146: step 996, loss 0.228503, acc 0.921875
2016-07-27T15:01:04.436678: step 997, loss 0.218557, acc 0.921875
2016-07-27T15:01:07.157747: step 998, loss 0.275892, acc 0.890625
2016-07-27T15:01:10.017455: step 999, loss 0.23044, acc 0.890625
2016-07-27T15:01:12.633915: step 1000, loss 0.418121, acc 0.8125

Evaluation:
2016-07-27T15:01:25.041943: step 1000, loss 0.917404, acc 0.691

Saved model checkpoint to /home/chaitanya/lstm-context-embeddings/runs/1469600026/checkpoints/model-1000

2016-07-27T15:01:29.020966: step 1001, loss 0.228764, acc 0.90625
2016-07-27T15:01:31.848543: step 1002, loss 0.266528, acc 0.875
2016-07-27T15:01:34.469469: step 1003, loss 0.426283, acc 0.84375
2016-07-27T15:01:37.250145: step 1004, loss 0.194583, acc 0.921875
2016-07-27T15:01:39.910392: step 1005, loss 0.252876, acc 0.90625
2016-07-27T15:01:42.820025: step 1006, loss 0.239672, acc 0.921875
2016-07-27T15:01:45.521992: step 1007, loss 0.320652, acc 0.90625
2016-07-27T15:01:48.292101: step 1008, loss 0.283585, acc 0.890625
2016-07-27T15:01:51.054232: step 1009, loss 0.174362, acc 0.921875
2016-07-27T15:01:53.626383: step 1010, loss 0.316103, acc 0.875
2016-07-27T15:01:56.433031: step 1011, loss 0.352579, acc 0.8125
2016-07-27T15:01:59.105233: step 1012, loss 0.279728, acc 0.875
2016-07-27T15:02:01.934892: step 1013, loss 0.442295, acc 0.78125
2016-07-27T15:02:04.570899: step 1014, loss 0.291932, acc 0.90625
2016-07-27T15:02:07.366967: step 1015, loss 0.329068, acc 0.90625
2016-07-27T15:02:10.147719: step 1016, loss 0.287292, acc 0.90625
2016-07-27T15:02:12.815550: step 1017, loss 0.264032, acc 0.90625
2016-07-27T15:02:15.625842: step 1018, loss 0.388684, acc 0.828125
2016-07-27T15:02:18.173402: step 1019, loss 0.212734, acc 0.921875
2016-07-27T15:02:20.954737: step 1020, loss 0.342271, acc 0.84375
2016-07-27T15:02:23.587998: step 1021, loss 0.322007, acc 0.90625
2016-07-27T15:02:26.188704: step 1022, loss 0.302879, acc 0.9375
2016-07-27T15:02:29.041473: step 1023, loss 0.345876, acc 0.84375
2016-07-27T15:02:31.657728: step 1024, loss 0.269099, acc 0.90625
2016-07-27T15:02:34.491448: step 1025, loss 0.376877, acc 0.8125
2016-07-27T15:02:37.174541: step 1026, loss 0.322656, acc 0.84375
2016-07-27T15:02:40.134336: step 1027, loss 0.281933, acc 0.921875
2016-07-27T15:02:42.798886: step 1028, loss 0.209941, acc 0.90625
2016-07-27T15:02:45.573953: step 1029, loss 0.274296, acc 0.890625
2016-07-27T15:02:48.321599: step 1030, loss 0.232028, acc 0.921875
2016-07-27T15:02:51.104475: step 1031, loss 0.281383, acc 0.859375
2016-07-27T15:02:54.097411: step 1032, loss 0.256971, acc 0.921875
2016-07-27T15:02:56.802216: step 1033, loss 0.26403, acc 0.921875
2016-07-27T15:03:00.303338: step 1034, loss 0.30508, acc 0.890625
2016-07-27T15:03:03.123182: step 1035, loss 0.22989, acc 0.921875
2016-07-27T15:03:05.721068: step 1036, loss 0.283787, acc 0.84375
2016-07-27T15:03:08.845842: step 1037, loss 0.270074, acc 0.9375
2016-07-27T15:03:11.737438: step 1038, loss 0.295932, acc 0.859375
2016-07-27T15:03:14.614262: step 1039, loss 0.465272, acc 0.734375
2016-07-27T15:03:17.520046: step 1040, loss 0.278619, acc 0.921875
2016-07-27T15:03:20.212523: step 1041, loss 0.247332, acc 0.875
2016-07-27T15:03:23.130420: step 1042, loss 0.266232, acc 0.90625
2016-07-27T15:03:26.064414: step 1043, loss 0.438483, acc 0.796875
2016-07-27T15:03:29.096695: step 1044, loss 0.162248, acc 0.984375
2016-07-27T15:03:32.111456: step 1045, loss 0.226687, acc 0.875
2016-07-27T15:03:35.349117: step 1046, loss 0.33584, acc 0.8125
2016-07-27T15:03:38.128622: step 1047, loss 0.255374, acc 0.859375
2016-07-27T15:03:40.760061: step 1048, loss 0.145632, acc 0.96875
2016-07-27T15:03:44.386369: step 1049, loss 0.2441, acc 0.90625
2016-07-27T15:03:47.102617: step 1050, loss 0.131749, acc 0.984375
2016-07-27T15:03:49.893671: step 1051, loss 0.363604, acc 0.9375
2016-07-27T15:03:52.731580: step 1052, loss 0.309526, acc 0.84375
2016-07-27T15:03:55.417620: step 1053, loss 0.310617, acc 0.84375
2016-07-27T15:03:58.358775: step 1054, loss 0.314382, acc 0.859375
2016-07-27T15:04:01.224214: step 1055, loss 0.294075, acc 0.90625
2016-07-27T15:04:04.264404: step 1056, loss 0.265391, acc 0.859375
2016-07-27T15:04:07.061842: step 1057, loss 0.264457, acc 0.903226
2016-07-27T15:04:09.923849: step 1058, loss 0.131724, acc 0.96875
2016-07-27T15:04:12.649095: step 1059, loss 0.273793, acc 0.890625
2016-07-27T15:04:15.395134: step 1060, loss 0.198489, acc 0.921875
2016-07-27T15:04:18.279626: step 1061, loss 0.159171, acc 0.953125
2016-07-27T15:04:21.128160: step 1062, loss 0.158465, acc 0.921875
2016-07-27T15:04:23.981057: step 1063, loss 0.21657, acc 0.90625
2016-07-27T15:04:26.545638: step 1064, loss 0.169732, acc 0.953125
2016-07-27T15:04:29.444058: step 1065, loss 0.171823, acc 0.953125
2016-07-27T15:04:32.086445: step 1066, loss 0.141999, acc 0.984375
2016-07-27T15:04:34.816743: step 1067, loss 0.167837, acc 0.984375
2016-07-27T15:04:37.601321: step 1068, loss 0.210068, acc 0.921875
2016-07-27T15:04:40.099991: step 1069, loss 0.126423, acc 0.953125
2016-07-27T15:04:42.926240: step 1070, loss 0.243348, acc 0.859375
2016-07-27T15:04:45.542147: step 1071, loss 0.244923, acc 0.921875
2016-07-27T15:04:48.330326: step 1072, loss 0.145121, acc 0.953125
2016-07-27T15:04:51.049505: step 1073, loss 0.136114, acc 0.953125
2016-07-27T15:04:53.809056: step 1074, loss 0.161295, acc 0.953125
2016-07-27T15:04:56.554796: step 1075, loss 0.286828, acc 0.90625
2016-07-27T15:04:59.242294: step 1076, loss 0.141325, acc 0.953125
2016-07-27T15:05:02.144684: step 1077, loss 0.213638, acc 0.953125
2016-07-27T15:05:04.754916: step 1078, loss 0.132296, acc 0.96875
2016-07-27T15:05:08.160645: step 1079, loss 0.268037, acc 0.875
2016-07-27T15:05:11.042683: step 1080, loss 0.227515, acc 0.921875
2016-07-27T15:05:13.721718: step 1081, loss 0.147742, acc 0.9375
2016-07-27T15:05:16.914638: step 1082, loss 0.311789, acc 0.796875
2016-07-27T15:05:19.700155: step 1083, loss 0.163817, acc 0.953125
2016-07-27T15:05:22.375686: step 1084, loss 0.219468, acc 0.9375
2016-07-27T15:05:25.212114: step 1085, loss 0.0991698, acc 0.96875
2016-07-27T15:05:27.832809: step 1086, loss 0.130215, acc 0.9375
2016-07-27T15:05:30.976631: step 1087, loss 0.117345, acc 0.96875
2016-07-27T15:05:33.652415: step 1088, loss 0.12633, acc 0.953125
2016-07-27T15:05:37.033313: step 1089, loss 0.174474, acc 0.921875
2016-07-27T15:05:39.835788: step 1090, loss 0.178178, acc 0.953125
2016-07-27T15:05:42.780397: step 1091, loss 0.196859, acc 0.921875
2016-07-27T15:05:45.484328: step 1092, loss 0.222574, acc 0.921875
2016-07-27T15:05:48.575820: step 1093, loss 0.227916, acc 0.875
2016-07-27T15:05:51.511394: step 1094, loss 0.162609, acc 0.90625
2016-07-27T15:05:54.945248: step 1095, loss 0.166116, acc 0.921875
2016-07-27T15:05:57.999507: step 1096, loss 0.220869, acc 0.90625
2016-07-27T15:06:00.967993: step 1097, loss 0.329996, acc 0.875
2016-07-27T15:06:03.807856: step 1098, loss 0.162117, acc 0.9375
2016-07-27T15:06:07.195560: step 1099, loss 0.224387, acc 0.890625
2016-07-27T15:06:10.533363: step 1100, loss 0.137135, acc 0.953125

Evaluation:
2016-07-27T15:06:23.035604: step 1100, loss 0.870863, acc 0.715

Saved model checkpoint to /home/chaitanya/lstm-context-embeddings/runs/1469600026/checkpoints/model-1100

2016-07-27T15:06:27.335035: step 1101, loss 0.165703, acc 0.9375
2016-07-27T15:06:30.336116: step 1102, loss 0.0988789, acc 0.984375
2016-07-27T15:06:33.031393: step 1103, loss 0.291421, acc 0.90625
2016-07-27T15:06:35.539410: step 1104, loss 0.176138, acc 0.890625
2016-07-27T15:06:38.369426: step 1105, loss 0.194082, acc 0.9375
2016-07-27T15:06:40.945133: step 1106, loss 0.160452, acc 0.9375
2016-07-27T15:06:43.714342: step 1107, loss 0.185163, acc 0.9375
2016-07-27T15:06:46.395212: step 1108, loss 0.201652, acc 0.90625
2016-07-27T15:06:49.013947: step 1109, loss 0.248516, acc 0.90625
2016-07-27T15:06:51.742941: step 1110, loss 0.270471, acc 0.90625
2016-07-27T15:06:54.826482: step 1111, loss 0.273004, acc 0.890625
2016-07-27T15:06:57.570236: step 1112, loss 0.192479, acc 0.921875
2016-07-27T15:07:00.651884: step 1113, loss 0.124947, acc 0.984375
2016-07-27T15:07:04.138299: step 1114, loss 0.167706, acc 0.953125
2016-07-27T15:07:08.879697: step 1115, loss 0.36574, acc 0.859375
2016-07-27T15:07:12.354925: step 1116, loss 0.224489, acc 0.90625
2016-07-27T15:07:15.143527: step 1117, loss 0.250473, acc 0.875
2016-07-27T15:07:18.182199: step 1118, loss 0.190056, acc 0.90625
2016-07-27T15:07:20.795770: step 1119, loss 0.215537, acc 0.90625
2016-07-27T15:07:24.002186: step 1120, loss 0.150315, acc 0.953125
2016-07-27T15:07:26.884872: step 1121, loss 0.205557, acc 0.890625
2016-07-27T15:07:30.022054: step 1122, loss 0.223854, acc 0.90625
2016-07-27T15:07:33.061269: step 1123, loss 0.213672, acc 0.890625
2016-07-27T15:07:36.100207: step 1124, loss 0.210236, acc 0.921875
2016-07-27T15:07:38.964366: step 1125, loss 0.141674, acc 0.921875
2016-07-27T15:07:41.617805: step 1126, loss 0.186685, acc 0.875
2016-07-27T15:07:44.437115: step 1127, loss 0.195483, acc 0.90625
2016-07-27T15:07:47.183569: step 1128, loss 0.285937, acc 0.828125
2016-07-27T15:07:49.891039: step 1129, loss 0.198701, acc 0.90625
2016-07-27T15:07:52.718574: step 1130, loss 0.179778, acc 0.921875
2016-07-27T15:07:55.327458: step 1131, loss 0.315688, acc 0.84375
2016-07-27T15:07:58.137565: step 1132, loss 0.132307, acc 0.953125
2016-07-27T15:08:00.830057: step 1133, loss 0.181725, acc 0.921875
2016-07-27T15:08:03.500063: step 1134, loss 0.277349, acc 0.875
2016-07-27T15:08:06.310137: step 1135, loss 0.137452, acc 0.953125
2016-07-27T15:08:08.930252: step 1136, loss 0.221644, acc 0.890625
2016-07-27T15:08:11.745693: step 1137, loss 0.151894, acc 0.96875
2016-07-27T15:08:14.425421: step 1138, loss 0.136998, acc 0.984375
2016-07-27T15:08:17.177804: step 1139, loss 0.267758, acc 0.9375
2016-07-27T15:08:19.980080: step 1140, loss 0.250383, acc 0.875
2016-07-27T15:08:22.669346: step 1141, loss 0.197351, acc 0.9375
2016-07-27T15:08:25.492796: step 1142, loss 0.178469, acc 0.9375
2016-07-27T15:08:28.047551: step 1143, loss 0.167142, acc 0.96875
2016-07-27T15:08:30.844806: step 1144, loss 0.217058, acc 0.875
2016-07-27T15:08:33.543648: step 1145, loss 0.160176, acc 0.953125
2016-07-27T15:08:36.334779: step 1146, loss 0.200902, acc 0.953125
2016-07-27T15:08:39.110585: step 1147, loss 0.247455, acc 0.859375
2016-07-27T15:08:41.815535: step 1148, loss 0.181043, acc 0.9375
2016-07-27T15:08:44.652701: step 1149, loss 0.21627, acc 0.859375
2016-07-27T15:08:47.182746: step 1150, loss 0.107521, acc 0.984375
2016-07-27T15:08:50.000542: step 1151, loss 0.229326, acc 0.875
2016-07-27T15:08:52.697860: step 1152, loss 0.195876, acc 0.921875
2016-07-27T15:08:55.539874: step 1153, loss 0.288294, acc 0.90625
2016-07-27T15:08:58.265797: step 1154, loss 0.242373, acc 0.90625
2016-07-27T15:09:00.993974: step 1155, loss 0.186506, acc 0.875
2016-07-27T15:09:03.838369: step 1156, loss 0.274534, acc 0.828125
2016-07-27T15:09:06.395410: step 1157, loss 0.167481, acc 0.9375
2016-07-27T15:09:09.173547: step 1158, loss 0.143635, acc 0.953125
2016-07-27T15:09:11.847234: step 1159, loss 0.265382, acc 0.890625
2016-07-27T15:09:14.689169: step 1160, loss 0.240685, acc 0.890625
2016-07-27T15:09:17.391877: step 1161, loss 0.176331, acc 0.9375
2016-07-27T15:09:20.145554: step 1162, loss 0.318798, acc 0.90625
2016-07-27T15:09:22.981875: step 1163, loss 0.159395, acc 0.953125
2016-07-27T15:09:25.620996: step 1164, loss 0.227781, acc 0.921875
2016-07-27T15:09:28.428004: step 1165, loss 0.154478, acc 0.9375
2016-07-27T15:09:31.034272: step 1166, loss 0.190175, acc 0.953125
2016-07-27T15:09:33.900332: step 1167, loss 0.244565, acc 0.890625
2016-07-27T15:09:36.597136: step 1168, loss 0.131517, acc 1
2016-07-27T15:09:39.307842: step 1169, loss 0.130357, acc 0.96875
2016-07-27T15:09:42.167414: step 1170, loss 0.15965, acc 0.953125
2016-07-27T15:09:44.669431: step 1171, loss 0.159272, acc 0.984375
2016-07-27T15:09:47.497381: step 1172, loss 0.254058, acc 0.890625
2016-07-27T15:09:50.150179: step 1173, loss 0.245538, acc 0.890625
2016-07-27T15:09:53.026571: step 1174, loss 0.218481, acc 0.890625
2016-07-27T15:09:55.703249: step 1175, loss 0.203236, acc 0.90625
2016-07-27T15:09:58.430534: step 1176, loss 0.27832, acc 0.859375
2016-07-27T15:10:01.211061: step 1177, loss 0.250724, acc 0.890625
2016-07-27T15:10:03.936050: step 1178, loss 0.206579, acc 0.890625
2016-07-27T15:10:06.838044: step 1179, loss 0.182438, acc 0.890625
2016-07-27T15:10:09.421539: step 1180, loss 0.159328, acc 0.921875
2016-07-27T15:10:12.255094: step 1181, loss 0.13232, acc 0.96875
